,KNN,RF,SVM,best_clf
0,0.7121040723981901,0.7907239819004526,0.7760180995475114,RF
1,0.8144796380090499,0.8342760180995474,0.8342760180995474,RF
2,0.7794117647058824,0.7598039215686274,0.7696078431372549,KNN
3,0.5746606334841629,0.6148190045248869,0.6187782805429864,SVM
4,0.6968325791855204,0.7171945701357467,0.7313348416289593,SVM
5,0.7645687645687645,0.8225524475524476,0.8513986013986015,SVM
6,0.759032634032634,0.7604895104895104,0.8196386946386947,SVM
7,0.6888111888111889,0.7357226107226107,0.7398018648018647,SVM
8,0.7811771561771562,0.7867132867132867,0.7852564102564102,RF
9,0.7892156862745099,0.769607843137255,0.857843137254902,SVM
mean,0.7360294117647059,0.7591903194844372,0.7783953791306732,SVM
std,0.06680229396520355,0.05888340097612712,0.06765854810224671,
